length,t_opt,t_baseline,t_opt_a,t_baseline_a
16384,0.018698,0.50958,1.1412353515625e-06,3.1102294921875e-05
65536,0.020324,2.049427,3.1011962890625e-07,3.127177429199219e-05
1,0.022828,0.019222,0.022828,0.019222
4,0.017072,0.023124,0.004268,0.005781
16,0.018323,0.018197,0.0011451875,0.0011373125
64,0.021337,0.020949,0.000333390625,0.000327328125
256,0.031359,0.030382,0.00012249609375,0.0001186796875
1024,0.020251,0.057921,1.97763671875e-05,5.65634765625e-05
4096,0.023415,0.198941,5.716552734375e-06,4.8569580078125e-05
16384,0.018049,0.482847,1.10162353515625e-06,2.947064208984375e-05
65536,0.026275,1.792946,4.009246826171875e-07,2.7358184814453124e-05
1,0.030332,0.024803,0.030332,0.024803
4,0.019102,0.022101,0.0047755,0.00552525
16,0.021204,0.023454,0.00132525,0.001465875
64,0.01977,0.021062,0.00030890625,0.00032909375
256,0.025072,0.027407,9.79375e-05,0.00010705859375
1024,0.022901,0.065223,2.23642578125e-05,6.36943359375e-05
4096,0.021173,0.199572,5.169189453125e-06,4.87236328125e-05
16384,0.024998,0.526523,1.5257568359375e-06,3.213641357421875e-05
65536,0.020059,2.046974,3.060760498046875e-07,3.1234344482421876e-05
1,0.027531,0.018402,0.027531,0.018402
4,0.01656,0.024946,0.00414,0.0062365
16,0.029182,0.024774,0.001823875,0.001548375
64,0.027199,0.024801,0.000424984375,0.000387515625
256,0.017373,0.031728,6.786328125e-05,0.0001239375
1024,0.019949,0.063473,1.94814453125e-05,6.19853515625e-05
4096,0.016267,0.197901,3.971435546875e-06,4.8315673828125e-05
16384,0.017042,0.436956,1.0401611328125e-06,2.6669677734375e-05
65536,0.0186,1.751479,2.838134765625e-07,2.6725448608398438e-05
1,0.031866,0.027975,0.031866,0.027975
4,0.017043,0.029465,0.00426075,0.00736625
16,0.025518,0.024342,0.001594875,0.001521375
64,0.018377,0.019297,0.000287140625,0.000301515625
256,0.018264,0.037453,7.134375e-05,0.00014630078125
1024,0.022604,0.067385,2.207421875e-05,6.58056640625e-05
4096,0.018457,0.197508,4.506103515625e-06,4.82197265625e-05
16384,0.018493,0.46854,1.12872314453125e-06,2.8597412109375e-05
65536,0.027856,1.838456,4.25048828125e-07,2.80526123046875e-05
1,0.017196,0.023552,0.017196,0.023552
4,0.019414,0.019081,0.0048535,0.00477025
16,0.018259,0.025189,0.0011411875,0.0015743125
64,0.017658,0.019641,0.00027590625,0.000306890625
256,0.018099,0.034213,7.069921875e-05,0.00013364453125
1024,0.022903,0.093968,2.23662109375e-05,9.1765625e-05
4096,0.019856,0.207556,4.84765625e-06,5.06728515625e-05
16384,0.022161,0.467966,1.35260009765625e-06,2.85623779296875e-05
65536,0.02096,1.859514,3.1982421875e-07,2.8373931884765623e-05
1,0.019821,0.017351,0.019821,0.017351
4,0.031065,0.026335,0.00776625,0.00658375
16,0.031633,0.039405,0.0019770625,0.0024628125
64,0.024254,0.024217,0.00037896875,0.000378390625
256,0.02836,0.033768,0.00011078125,0.00013190625
