length,t_wrapper,t_baseline,t_baseline2,t_wrapper_a,t_baseline_a,t_baseline2_a
64,0.013419,0.0028808116912841797,0.004481077194213867,0.000209671875,4.501268267631531e-05,7.001683115959167e-05
256,0.041352,0.003570079803466797,0.013450384140014648,0.00016153125,1.3945624232292175e-05,5.254056304693222e-05
1024,0.147144,0.005681514739990234,0.054454803466796875,0.0001436953125,5.548354238271713e-06,5.317851901054382e-05
4096,0.521852,0.015389680862426758,0.22467994689941406,0.0001274052734375,3.7572463043034077e-06,5.485350266098976e-05
16384,2.056071,0.04655957221984863,0.8093986511230469,0.00012549261474609376,2.8417707653716207e-06,4.9401773139834404e-05
65536,8.396397,0.17413592338562012,3.129817485809326,0.00012811885070800782,2.6571033231448382e-06,4.7757224820088595e-05
1,0.003915,0.0026574134826660156,7.43865966796875e-05,0.003915,0.0026574134826660156,7.43865966796875e-05
4,0.005073,0.002468585968017578,0.0002491474151611328,0.00126825,0.0006171464920043945,6.22868537902832e-05
16,0.007902,0.0031664371490478516,0.0011675357818603516,0.000493875,0.00019790232181549072,7.297098636627197e-05
64,0.013813,0.002802610397338867,0.0032258033752441406,0.000215828125,4.37907874584198e-05,5.04031777381897e-05
256,0.039909,0.0033812522888183594,0.012762069702148438,0.00015589453125,1.3208016753196716e-05,4.9851834774017334e-05
1024,0.144311,0.00544428825378418,0.05393648147583008,0.0001409287109375,5.316687747836113e-06,5.267234519124031e-05
4096,0.524441,0.013150215148925781,0.20899677276611328,0.000128037353515625,3.2105017453432083e-06,5.1024602726101875e-05
16384,2.091745,0.039054155349731445,0.8000974655151367,0.00012766998291015625,2.383676473982632e-06,4.8834073822945356e-05
65536,8.245182,0.14317083358764648,3.0979809761047363,0.00012581149291992187,2.184613549616188e-06,4.7271438234020025e-05
1,0.004195,0.0027947425842285156,0.00010061264038085938,0.004195,0.0027947425842285156,0.00010061264038085938
4,0.007012,0.0030677318572998047,0.00024127960205078125,0.001753,0.0007669329643249512,6.031990051269531e-05
16,0.006296,0.0032663345336914062,0.0009162425994873047,0.0003935,0.0002041459083557129,5.726516246795654e-05
64,0.012824,0.0032129287719726562,0.004083156585693359,0.000200375,5.0202012062072754e-05,6.379932165145874e-05
256,0.049654,0.0038881301879882812,0.013752460479736328,0.0001939609375,1.5188008546829224e-05,5.372054874897003e-05
1024,0.141158,0.006572246551513672,0.05310630798339844,0.000137849609375,6.41820952296257e-06,5.186162889003754e-05
4096,0.587619,0.022199153900146484,0.2630620002746582,0.000143461669921875,5.41971530765295e-06,6.422412116080523e-05
16384,2.098342,0.0618894100189209,0.8523983955383301,0.0001280726318359375,3.7774298107251525e-06,5.202626925893128e-05
65536,8.286604,0.23871421813964844,3.198847532272339,0.00012644354248046876,3.6424899008125067e-06,4.881053973804228e-05
1,0.004286,0.0026035308837890625,9.131431579589844e-05,0.004286,0.0026035308837890625,9.131431579589844e-05
4,0.004382,0.003246784210205078,0.00022101402282714844,0.0010955,0.0008116960525512695,5.525350570678711e-05
